STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"RITE AID 5600",-117.67004,34.076962,"1050 N Mountain Ave","","Ontario","CA","91762","2114","SAN BERNARDINO" 
"RITE AID 5602",-117.61252,34.077648,"1841 E 4th St","","Ontario","CA","91764","2601","SAN BERNARDINO" 
"RITE AID 5687",-117.18959,34.500786,"21738 US Highway 18","","Apple Valley","CA","92307","3916","SAN BERNARDINO" 
"RITE AID 5690",-117.0229,34.877392,"1380 Barstow Rd","","Barstow","CA","92311","4944","SAN BERNARDINO" 
"RITE AID 5692",-117.21127,34.245487,"27177 State Highway 189 Ste E","","Blue Jay","CA","92317","0017","SAN BERNARDINO" 
"RITE AID 5693",-117.29229,34.048828,"2025 E Washington St","","Colton","CA","92324","4704","SAN BERNARDINO" 
"RITE AID 5694",-117.31391,34.076832,"1133 N Mount Vernon Ave","","Colton","CA","92324","2554","SAN BERNARDINO" 
"We Yone African Market & Produce",-117.36733,34.121319,"243 E Base Line Rd","","Rialto","CA","92376","3511","SAN BERNARDINO" 
"RITE AID 5695",-117.43545,34.106678,"16910 Foothill Blvd","","Fontana","CA","92335","3502","SAN BERNARDINO" 
"RITE AID 5696",-117.48669,34.042068,"11673 Cherry Ave","","Fontana","CA","92337","0141","SAN BERNARDINO" 
"RITE AID 5697",-117.32406,34.424896,"15510 Main St","","Hesperia","CA","92345","3427","SAN BERNARDINO" 
"RITE AID 5699",-114.59639,34.825123,"1020 E Broadway St","","Needles","CA","92363","3809","SAN BERNARDINO" 
"RITE AID 5700",-117.57191,34.426338,"4120 Phelan Rd","","Phelan","CA","92371","3904","SAN BERNARDINO" 
"RITE AID 5703",-117.37094,34.137981,"2020 N Riverside Ave","","Rialto","CA","92377","4600","SAN BERNARDINO" 
"RITE AID 5705",-117.3127,34.516701,"14629 7th St","","Victorville","CA","92395","4019","SAN BERNARDINO" 
"RITE AID 5706",-117.36376,34.470436,"13720 Bear Valley Rd","","Victorville","CA","92392","8713","SAN BERNARDINO" 
"RITE AID 5708",-117.43574,34.073105,"9940 Sierra Ave","","Fontana","CA","92335","6721","SAN BERNARDINO" 
"RITE AID 6276",-117.2828,34.418743,"17441 Main St","","Hesperia","CA","92345","6268","SAN BERNARDINO" 
"RITE AID 6318",-117.59323,34.018242,"3000 S Archibald Ave","","Ontario","CA","91761","7918","SAN BERNARDINO" 
"RITE AID 5423",-118.24643,33.974808,"1535 E Florence Ave","","Los Angeles","CA","90001","","LOS ANGELES" 
"RITE AID 5429",-118.25075,34.047932,"500 S Broadway","","Los Angeles","CA","90013","2302","LOS ANGELES" 
"RITE AID 5434",-118.26025,34.080933,"1433 Glendale Blvd","","Los Angeles","CA","90026","2428","LOS ANGELES" 
"RITE AID 5440",-118.21527,34.076527,"111 E Avenue 26","","Los Angeles","CA","90031","2312","LOS ANGELES" 
"RITE AID 5445",-118.2827,34.004871,"4322 S Figueroa St","","Los Angeles","CA","90037","2642","LOS ANGELES" 
"99 Cents Only Store 212",-117.09984,32.701965,"265 Marketplace Ave","","San Diego","CA","92113","1965","SAN DIEGO" 
"99 Cents Only Store 221",-117.88638,33.91803,"1261 Market Place Ave","","Brea","CA","92821","","ORANGE" 
"RITE AID 5446",-118.34405,34.09153,"1130 N la Brea Ave","","West Hollywood","CA","90038","1022","LOS ANGELES" 
"RITE AID 5448",-118.22722,34.120735,"4044 Eagle Rock Blvd","","Los Angeles","CA","90065","3608","LOS ANGELES" 
"RITE AID 5450",-118.18217,34.114697,"6305 York Blvd","","Highland Park","CA","90042","3639","LOS ANGELES" 
"RITE AID 5528",-117.97655,34.139717,"1335 Huntington Dr","","Duarte","CA","91010","2527","LOS ANGELES" 
"RITE AID 5576",-117.90668,34.114277,"153 E Gladstone St","","Azusa","CA","91702","4926","LOS ANGELES" 
"RITE AID 5585",-117.87264,34.08717,"139 N Grand Ave","","Covina","CA","91724","2957","LOS ANGELES" 
"RITE AID 5593",-117.97391,34.053265,"13905 Amar Rd","","La Puente","CA","91746","1670","LOS ANGELES" 
"RITE AID 5595",-117.77514,34.116505,"1480 Foothill Blvd","","La Verne","CA","91750","3450","LOS ANGELES" 
"RITE AID 5604",-117.73861,34.062687,"611 E Holt Ave","","Pomona","CA","91767","5625","LOS ANGELES" 
"RITE AID 5608",-117.82541,34.1068,"933 W Arrow Hwy","","San Dimas","CA","91773","2420","LOS ANGELES" 
"RITE AID 5609",-118.06483,34.106106,"9450 Las Tunas Dr","","Temple City","CA","91780","2138","LOS ANGELES" 
"RITE AID 5610",-117.91241,34.030079,"1528 E Amar Rd","","West Covina","CA","91792","1618","LOS ANGELES" 
"RITE AID 5611",-118.1137,34.079033,"920 E Valley Blvd","","Alhambra","CA","91801","5226","LOS ANGELES" 
"RITE AID 5612",-118.12567,34.095795,"69 E Main St","","Alhambra","CA","91801","3514","LOS ANGELES" 
"RITE AID 6300",-118.02637,34.151112,"165 E Foothill Blvd","","Arcadia","CA","91006","2506","LOS ANGELES" 
"RITE AID 6338",-117.74937,34.03389,"2059 S Garey Ave","","Pomona","CA","91766","5727","LOS ANGELES" 
"RITE AID 5670",-116.22601,33.714733,"82451-C Highway 111","","Indio","CA","92201","5654","RIVERSIDE" 
"Rite Aid 5671",-116.94662,33.922215,"300 S Highland Springs Ave","Ste 9","Banning","CA","92220","6502","RIVERSIDE" 
"RITE AID 5672",-116.88582,33.925392,"806 W Ramsey St","","Banning","CA","92220","4478","RIVERSIDE" 
"RITE AID 5673",-114.58622,33.610584,"890 E Hobsonway","","Blythe","CA","92225","1800","RIVERSIDE" 
"RITE AID 5676",-116.45683,33.815842,"69155 Ramon Rd","","Cathedral City","CA","92234","3344","RIVERSIDE" 
"RITE AID 5679",-116.50127,33.954823,"12900 Palm Dr","","Desert Hot Springs","CA","92240","4567","RIVERSIDE" 
"RITE AID 5682",-116.35727,33.75816,"74958 Country Club Dr","","Palm Desert","CA","92260","1948","RIVERSIDE" 
"RITE AID 5683",-116.54676,33.81786,"366 S Palm Canyon Dr","","Palm Springs","CA","92262","7302","RIVERSIDE" 
"Rite Aid 5684",-116.5283,33.822853,"111 S Sunrise Way","","Palm Springs","CA","92262","6736","RIVERSIDE" 
